label display
13999 13999_gen1_sp1_ssp1
15061 15061_gen2_sp2_ssp1
15366 15366_gen2_sp1_ssp1
15311 15311_gen2_sp1_ssp1
15294 15294_gen2_sp1_ssp1
15194 15194_gen2_sp1_ssp1
15388 15388_gen3_sp1_ssp1
15365 15365_gen2_sp1_ssp2
15256 15256_gen2_sp2_ssp1
15357 15357_gen2_sp2_ssp1
15269 15269_gen2_sp2_ssp1
15066 15066_gen2_sp2_ssp1
15106 15106_gen2_sp1_ssp1
15067 15067_gen2_sp2_ssp1
15370 15370_gen2_sp2_ssp1
17702 17702_gen2_sp2_ssp1
17895 17895_gen2_sp2_ssp1
17896 17896_gen2_sp2_ssp1
15361 15361_gen2_sp1_ssp1
14999 14999_gen2_sp1_ssp2
15214 15214_gen2_sp1_ssp1
15123 15123_gen2_sp1_ssp2
15353 15353_gen4_sp1_ssp1
15354 15354_gen2_sp1_ssp2
15355 15355_gen2_sp1_ssp2
15369 15369_gen4_sp1_ssp1
15146 15146_gen2_sp1_ssp2
15263 15263_gen2_sp2_ssp1
